,path,emotion
0,data/emodb/wav\03a01Fa.wav,happy
1,data/emodb/wav\03a01Nc.wav,neutral
2,data/emodb/wav\03a01Wa.wav,angry
3,data/emodb/wav\03a02Fc.wav,happy
4,data/emodb/wav\03a02Nc.wav,neutral
5,data/emodb/wav\03a02Ta.wav,sad
6,data/emodb/wav\03a02Wb.wav,angry
7,data/emodb/wav\03a02Wc.wav,angry
8,data/emodb/wav\03a04Fd.wav,happy
9,data/emodb/wav\03a04Nc.wav,neutral
10,data/emodb/wav\03a04Ta.wav,sad
11,data/emodb/wav\03a04Wc.wav,angry
12,data/emodb/wav\03a05Fc.wav,happy
13,data/emodb/wav\03a05Nd.wav,neutral
14,data/emodb/wav\03a05Tc.wav,sad
15,data/emodb/wav\03a05Wa.wav,angry
16,data/emodb/wav\03a05Wb.wav,angry
17,data/emodb/wav\03a07Fa.wav,happy
18,data/emodb/wav\03a07Fb.wav,happy
19,data/emodb/wav\03a07Nc.wav,neutral
20,data/emodb/wav\03a07Wc.wav,angry
21,data/emodb/wav\03b01Fa.wav,happy
22,data/emodb/wav\03b01Nb.wav,neutral
23,data/emodb/wav\03b01Td.wav,sad
24,data/emodb/wav\03b01Wa.wav,angry
25,data/emodb/wav\03b01Wc.wav,angry
26,data/emodb/wav\03b02Na.wav,neutral
27,data/emodb/wav\03b02Tb.wav,sad
28,data/emodb/wav\03b02Wb.wav,angry
29,data/emodb/wav\03b03Nb.wav,neutral
30,data/emodb/wav\03b03Tc.wav,sad
31,data/emodb/wav\03b03Wc.wav,angry
32,data/emodb/wav\03b09Nc.wav,neutral
33,data/emodb/wav\03b09Tc.wav,sad
34,data/emodb/wav\03b09Wa.wav,angry
35,data/emodb/wav\03b10Ec.wav,disgust
36,data/emodb/wav\03b10Na.wav,neutral
37,data/emodb/wav\03b10Nc.wav,neutral
38,data/emodb/wav\03b10Wb.wav,angry
39,data/emodb/wav\03b10Wc.wav,angry
40,data/emodb/wav\08a01Fd.wav,happy
41,data/emodb/wav\08a01Na.wav,neutral
42,data/emodb/wav\08a01Wa.wav,angry
43,data/emodb/wav\08a01Wc.wav,angry
44,data/emodb/wav\08a02Fe.wav,happy
45,data/emodb/wav\08a02Na.wav,neutral
46,data/emodb/wav\08a02Tb.wav,sad
47,data/emodb/wav\08a02Wc.wav,angry
48,data/emodb/wav\08a04Ff.wav,happy
49,data/emodb/wav\08a04Nc.wav,neutral
50,data/emodb/wav\08a04Tb.wav,sad
51,data/emodb/wav\08a04Wc.wav,angry
52,data/emodb/wav\08a05Fe.wav,happy
53,data/emodb/wav\08a05Nb.wav,neutral
54,data/emodb/wav\08a05Ta.wav,sad
55,data/emodb/wav\08a05Wa.wav,angry
56,data/emodb/wav\08a07Fd.wav,happy
57,data/emodb/wav\08a07Na.wav,neutral
58,data/emodb/wav\08a07Ta.wav,sad
59,data/emodb/wav\08a07Tb.wav,sad
60,data/emodb/wav\08a07Wc.wav,angry
61,data/emodb/wav\08b01Fd.wav,happy
62,data/emodb/wav\08b01Fe.wav,happy
63,data/emodb/wav\08b01Na.wav,neutral
64,data/emodb/wav\08b01Wa.wav,angry
65,data/emodb/wav\08b02Ff.wav,happy
66,data/emodb/wav\08b02Nb.wav,neutral
67,data/emodb/wav\08b02Tc.wav,sad
68,data/emodb/wav\08b02Wd.wav,angry
69,data/emodb/wav\08b03Fe.wav,happy
70,data/emodb/wav\08b03Nb.wav,neutral
71,data/emodb/wav\08b03Tc.wav,sad
72,data/emodb/wav\08b03Wd.wav,angry
73,data/emodb/wav\08b09Fd.wav,happy
74,data/emodb/wav\08b09Nb.wav,neutral
75,data/emodb/wav\08b09Tb.wav,sad
76,data/emodb/wav\08b09Wa.wav,angry
77,data/emodb/wav\08b09Wc.wav,angry
78,data/emodb/wav\08b10Fd.wav,happy
79,data/emodb/wav\08b10Nc.wav,neutral
80,data/emodb/wav\08b10Tc.wav,sad
81,data/emodb/wav\08b10Wa.wav,angry
82,data/emodb/wav\09a01Ea.wav,disgust
83,data/emodb/wav\09a01Fa.wav,happy
84,data/emodb/wav\09a01Nb.wav,neutral
85,data/emodb/wav\09a01Wb.wav,angry
86,data/emodb/wav\09a02Ea.wav,disgust
87,data/emodb/wav\09a02Eb.wav,disgust
88,data/emodb/wav\09a02Wb.wav,angry
89,data/emodb/wav\09a04Fd.wav,happy
90,data/emodb/wav\09a04Nb.wav,neutral
91,data/emodb/wav\09a04Wa.wav,angry
92,data/emodb/wav\09a05Ed.wav,disgust
93,data/emodb/wav\09a05Nb.wav,neutral
94,data/emodb/wav\09a05Tb.wav,sad
95,data/emodb/wav\09a05Wb.wav,angry
96,data/emodb/wav\09a05Wc.wav,angry
97,data/emodb/wav\09a07Eb.wav,disgust
98,data/emodb/wav\09a07Na.wav,neutral
99,data/emodb/wav\09a07Ta.wav,sad
100,data/emodb/wav\09a07Wb.wav,angry
101,data/emodb/wav\09a07Wd.wav,angry
102,data/emodb/wav\09b01Ea.wav,disgust
103,data/emodb/wav\09b01Na.wav,neutral
104,data/emodb/wav\09b01Wb.wav,angry
105,data/emodb/wav\09b02Na.wav,neutral
106,data/emodb/wav\09b02Tb.wav,sad
107,data/emodb/wav\09b02Wc.wav,angry
108,data/emodb/wav\09b02Wd.wav,angry
109,data/emodb/wav\09b03Ed.wav,disgust
110,data/emodb/wav\09b03Fa.wav,happy
111,data/emodb/wav\09b03Fd.wav,happy
112,data/emodb/wav\09b03Nb.wav,neutral
113,data/emodb/wav\09b03Ta.wav,sad
114,data/emodb/wav\09b03Wb.wav,angry
115,data/emodb/wav\09b09Ea.wav,disgust
116,data/emodb/wav\09b09Nd.wav,neutral
117,data/emodb/wav\09b09Wa.wav,angry
118,data/emodb/wav\09b10Nd.wav,neutral
119,data/emodb/wav\09b10Wa.wav,angry
120,data/emodb/wav\10a01Nb.wav,neutral
121,data/emodb/wav\10a01Wa.wav,angry
122,data/emodb/wav\10a02Fa.wav,happy
123,data/emodb/wav\10a02Na.wav,neutral
124,data/emodb/wav\10a02Wa.wav,angry
125,data/emodb/wav\10a04Fd.wav,happy
126,data/emodb/wav\10a04Nb.wav,neutral
127,data/emodb/wav\10a04Wa.wav,angry
128,data/emodb/wav\10a04Wb.wav,angry
129,data/emodb/wav\10a05Tb.wav,sad
130,data/emodb/wav\10a05Wb.wav,angry
131,data/emodb/wav\10a07Ta.wav,sad
132,data/emodb/wav\10a07Wb.wav,angry
133,data/emodb/wav\10b01Ea.wav,disgust
134,data/emodb/wav\10b01Fa.wav,happy
135,data/emodb/wav\10b02Na.wav,neutral
136,data/emodb/wav\10b02Wb.wav,angry
137,data/emodb/wav\10b03Tb.wav,sad
138,data/emodb/wav\10b03Wb.wav,angry
139,data/emodb/wav\10b09Wb.wav,angry
140,data/emodb/wav\10b10Fc.wav,happy
141,data/emodb/wav\10b10Wa.wav,angry
142,data/emodb/wav\11a01Nd.wav,neutral
143,data/emodb/wav\11a01Wc.wav,angry
144,data/emodb/wav\11a02Ec.wav,disgust
145,data/emodb/wav\11a02Fb.wav,happy
146,data/emodb/wav\11a02Nc.wav,neutral
147,data/emodb/wav\11a02Tc.wav,sad
148,data/emodb/wav\11a02Wc.wav,angry
149,data/emodb/wav\11a04Fd.wav,happy
150,data/emodb/wav\11a04Nd.wav,neutral
151,data/emodb/wav\11a04Wc.wav,angry
152,data/emodb/wav\11a05Fb.wav,happy
153,data/emodb/wav\11a05Fc.wav,happy
154,data/emodb/wav\11a05Na.wav,neutral
155,data/emodb/wav\11a05Td.wav,sad
156,data/emodb/wav\11a05Wd.wav,angry
157,data/emodb/wav\11a07Ta.wav,sad
158,data/emodb/wav\11a07Wc.wav,angry
159,data/emodb/wav\11b01Eb.wav,disgust
160,data/emodb/wav\11b01Fc.wav,happy
161,data/emodb/wav\11b01Nc.wav,neutral
162,data/emodb/wav\11b01Wd.wav,angry
163,data/emodb/wav\11b02Fd.wav,happy
164,data/emodb/wav\11b02Na.wav,neutral
165,data/emodb/wav\11b02Td.wav,sad
166,data/emodb/wav\11b02Wb.wav,angry
167,data/emodb/wav\11b03Fc.wav,happy
168,data/emodb/wav\11b03Nb.wav,neutral
169,data/emodb/wav\11b03Td.wav,sad
170,data/emodb/wav\11b03Wa.wav,angry
171,data/emodb/wav\11b03Wb.wav,angry
172,data/emodb/wav\11b09Fd.wav,happy
173,data/emodb/wav\11b09Na.wav,neutral
174,data/emodb/wav\11b09Td.wav,sad
175,data/emodb/wav\11b09Wa.wav,angry
176,data/emodb/wav\11b10Nc.wav,neutral
177,data/emodb/wav\11b10Td.wav,sad
178,data/emodb/wav\11b10Wa.wav,angry
179,data/emodb/wav\12a01Fb.wav,happy
180,data/emodb/wav\12a01Nb.wav,neutral
